ZipCode,City,StreetAddress,Latitude,Longitude,StateFull
19009,Schwerin,Unter den Linden 19,53.647577,11.429453,Mecklenburg-Vorpommern
28832,Achim,Karl-Liebknecht-Strasse 9,52.931984,8.991888,Niedersachsen
39343,Ackendorf,An der Alster 53,52.294889,11.21196,Sachsen-Anhalt
93485,Rimbach,Grosse Praesidenten Str. 29,49.201437,12.789166,Freistaat Bayern
24015,Kiel,Genterstrasse 28,54.238074,10.049528,Schleswig-Holstein
90478,Nürnberg,Kantstrasse 75,49.464044,11.167668,Freistaat Bayern
72768,Reutlingen Römerschanze,Bayreuther Strasse 78,48.539051,9.236149,Baden-Württemberg
06120,Halle,Messedamm 51,51.496963,11.76884,Sachsen-Anhalt
40217,Düsseldorf Friedrichstadt,Friedrichstrasse 94,51.221734,6.705698,Nordrhein-Westfalen
54531,Wallscheid,Luetzowplatz 42,50.132996,6.659985,Rheinland-Pfalz
92421,Schwandorf,Schaarsteinweg 53,49.276015,12.126569,Freistaat Bayern
40882,Ratingen Schwarzbach,Am Borsigturm 85,51.282599,6.765397,Nordrhein-Westfalen
57629,Streithausen,Buelowstrasse 44,50.788997,7.811884,Rheinland-Pfalz
51469,Bergisch Gladbach Heidkamp,Lietzenburger Strasse 71,50.956917,7.092441,Nordrhein-Westfalen
87714,Mindelheim,Paderborner Strasse 92,47.958513,10.592207,Freistaat Bayern
67829,Reiffelbach,Brandenburgische Str 14,49.747044,7.590494,Rheinland-Pfalz
84164,Dreifaltigkeitsbg G Weng,Neuer Jungfernstieg 15,48.590823,12.524093,Freistaat Bayern
92360,Mühlhausen,Bleibtreustraße 18,49.178801,11.433203,Freistaat Bayern
42277,Wuppertal Barmen,Jenaer Strasse 35,51.296836,7.189965,Nordrhein-Westfalen
28279,Bremen Arsten,Grolmanstraße 74,52.956673,8.903783,Freie Hansestadt Bremen
13587,Berlin Spandau,Genslerstraße 16,52.470509,13.47717,Berlin
12621,Berlin Kaulsdorf,Brandenburgische Straße 94,52.431791,13.324824,Berlin
86507,Kleinaitingen,Paderborner Strasse 31,48.152104,10.908701,Freistaat Bayern
16225,Eberswalde,Landhausstraße 20,52.77235,13.811,Brandenburg
73061,Ebersbach,Alt-Moabit 91,48.735082,9.574131,Baden-Württemberg
82239,Alling,Prager Str 25,48.102725,11.328958,Freistaat Bayern
66621,Nohfelden,Stresemannstr. 4,49.563085,7.206625,Freistaat Thüringen
90012,Nürnberg,Rathausstrasse 26,49.441922,11.032098,Freistaat Bayern
54518,Bruch,Lützowplatz 9,50.01642,6.999648,Rheinland-Pfalz
01244,Dresden,Charlottenstrasse 5,51.091908,13.844255,Freistaat Sachsen
01614,Strehla,Lietzensee-Ufer 61,51.298655,13.142032,Freistaat Sachsen
76228,Karlsruhe Grötzingen,Frankfurter Allee 35,49.073391,8.441895,Baden-Württemberg
84062,Mallersdorf-Pfaffenberg,Neuer Jungfernstieg 21,48.674134,12.198682,Freistaat Bayern
69434,Heddesbach,Grosse Praesidenten Str. 11,49.349464,8.880436,Baden-Württemberg
25838,Friedrichstadt,Kastanienallee 50,54.303868,9.164081,Schleswig-Holstein
99087,Erfurt,Gotthardstrasse 84,50.939482,10.994149,Freistaat Thüringen
37199,Wulften,Leipziger Straße 9,51.657845,10.118102,Niedersachsen
65388,Schlangenbad,Mollstrasse 27,50.106945,8.103153,Hessen
12209,Berlin Lichterfelde,Brandenburgische Straße 60,52.547837,13.40561,Berlin
39376,Wefensleben,Feldstrasse 6,52.0872,11.256715,Sachsen-Anhalt
25379,Herzhorn,Inge Beisheim Platz 24,53.813723,9.383419,Schleswig-Holstein
86656,Bissingen,Alsterkrugchaussee 61,48.69647,10.713514,Freistaat Bayern
84526,Tittmoning,Kieler Strasse 33,48.040864,12.843989,Freistaat Bayern
91166,Georgensgmünd,Luebeckertordamm 10,49.258735,10.925201,Freistaat Bayern
23845,Bahrenhof,Hans-Grade-Allee 32,53.855684,10.337735,Schleswig-Holstein
80754,München,Rhinstrasse 95,48.068542,11.497648,Freistaat Bayern
80672,München,Landsberger Allee 67,48.138346,11.678061,Freistaat Bayern
27419,Vierden,Gruenauer Strasse 72,53.267804,9.453846,Niedersachsen
85053,Ingolstadt,Albrechtstrasse 74,48.738938,11.442245,Freistaat Bayern
02748,Bernstadt,An der Schillingbrucke 45,51.063364,14.752628,Freistaat Sachsen
97523,Schwanfeld,Esplanade 49,49.97677,10.122582,Freistaat Bayern
85080,Gaimersheim,Rankestraße 40,48.822099,11.424363,Freistaat Bayern
23730,Altenkrempe,Nuernbergerstrasse 84,54.055855,10.689668,Schleswig-Holstein
88353,Kißlegg,Eichendorffstr. 8,47.716454,9.853021,Baden-Württemberg
99761,Niedersachswerfen,Koenigstrasse 48,51.509748,10.786293,Freistaat Thüringen
54534,Großlittgen,Lützowplatz 48,50.104194,6.758552,Rheinland-Pfalz
88605,Sauldorf,Hedemannstasse 36,47.975069,9.108175,Baden-Württemberg
28325,Bremen Oberneuland,Grolmanstraße 87,53.042536,8.736625,Freie Hansestadt Bremen
77743,Neuried,Bleibtreustraße 68,48.40309,7.906079,Baden-Württemberg
54296,Trier Kürenz,Leipziger Strasse 19,49.682715,6.610283,Rheinland-Pfalz
01783,Pirna,Lietzensee-Ufer 74,51.037883,14.015629,Freistaat Sachsen
04754,Oschatz,Alt-Moabit 90,51.311369,13.161844,Freistaat Sachsen
88115,Lindau,Potsdamer Platz 68,47.46761,9.656982,Freistaat Bayern
75175,Pforzheim Buckenberg,Pasewalker Straße 34,48.890436,8.633065,Baden-Württemberg
72762,Reutlingen Lerchenbuckel,Bayreuther Strasse 38,48.430465,9.106802,Baden-Württemberg
21441,Garstedt,Gruenauer Strasse 60,53.276911,10.067064,Niedersachsen
93495,Weiding,Flughafenstrasse 24,49.291329,12.687586,Freistaat Bayern
83038,Bad Aibling,Jahnstrasse 76,47.894775,12.08322,Freistaat Bayern
96049,Bamberg,Rudower Chaussee 72,49.883222,10.872668,Freistaat Bayern
74861,Neudenau,Grosse Praesidenten Str. 54,49.31926,9.258725,Baden-Württemberg
73550,Waldstetten,Kurfürstenstraße 97,48.673276,9.741957,Baden-Württemberg
67677,Enkenbach-Alsenborn,Grosse Praesidenten Str. 3,49.426433,7.993177,Rheinland-Pfalz
26655,Westerstede,Nuernbergerstrasse 91,53.165318,7.861979,Niedersachsen
57636,Sörth,Knesebeckstrasse 17,50.6351,7.666838,Rheinland-Pfalz
29481,Karwitz,Lietzenburger Straße 92,53.090365,11.002791,Niedersachsen
58454,Witten Rüdinghausen,Augsburger Straße 50,51.518331,7.274039,Nordrhein-Westfalen
83339,Chieming,Langenhorner Chaussee 38,47.950113,12.565312,Freistaat Bayern
53111,Bonn,Straße der Pariser Kommune 75,50.779959,7.165528,Nordrhein-Westfalen
86676,Ehekirchen,Paderborner Strasse 29,48.654502,11.177029,Freistaat Bayern
94419,Reisbach,Neuer Jungfernstieg 22,48.561859,12.557592,Freistaat Bayern
56077,Koblenz Arzheim,Fugger Strasse 61,50.32065,7.530249,Rheinland-Pfalz
39038,Magdeburg,Unter den Linden 8,52.112426,11.662139,Sachsen-Anhalt
01614,Strehla,Lietzensee-Ufer 36,51.382254,13.185236,Freistaat Sachsen
56288,Hasselbach,Joachimstaler Str. 54,49.954087,7.375412,Rheinland-Pfalz
56729,Bermel,Buelowstrasse 2,50.423415,7.060369,Rheinland-Pfalz
48329,Havixbeck,Knesebeckstraße 3,51.97226,7.457307,Nordrhein-Westfalen
93026,Regensburg,Mühlenstrasse 2,49.074709,12.181686,Freistaat Bayern
13127,Berlin Buchholz,Leopoldstraße 51,52.624258,13.523373,Berlin
73434,Aalen Fachsenfeld,An der Schillingbrucke 61,48.754893,10.046053,Baden-Württemberg
74535,Mainhardt,Waldowstr. 46,49.071383,9.462369,Baden-Württemberg
79189,Bad Krozingen,Schönhauser Allee 5,47.900241,7.742701,Baden-Württemberg
91231,Neunkirchen,Augsburger Strasse 13,49.806898,9.320166,Freistaat Bayern
24143,Kiel,Genterstrasse 70,54.245493,10.181934,Schleswig-Holstein
91503,Ansbach,Rudower Chaussee 48,49.276635,10.611113,Freistaat Bayern
94256,Drachselsried,Kirchenallee 8,49.069412,12.962695,Freistaat Bayern
12307,Berlin Lichtenrade,Brandenburgische Straße 16,52.53044,13.47339,Berlin
13505,Berlin Tegel,Genslerstraße 21,52.489416,13.441781,Berlin
37640,Golmbach,Leipziger Straße 69,51.818762,9.45439,Niedersachsen
85766,Unterföhring,Lange Strasse 79,48.152723,11.616605,Freistaat Bayern
24355,Fleckeby,Schönwalder Allee 90,54.405372,9.677105,Schleswig-Holstein
70174,Stuttgart West,Ollenhauer Str. 37,48.836314,9.208082,Baden-Württemberg
28205,Bremen Peterswerder,Grolmanstraße 80,53.147045,8.903053,Freie Hansestadt Bremen
55234,Gau-Heppenheim,Motzstr. 87,49.782532,8.10269,Rheinland-Pfalz
82354,Weilheim,Bleibtreustraße 7,47.893385,11.105825,Freistaat Bayern
80711,München,Rhinstrasse 89,48.147404,11.59792,Freistaat Bayern
37334,Worbis,Koenigstrasse 68,51.510436,10.290137,Freistaat Thüringen
47447,Moers,Gotzkowskystraße 15,51.377046,6.65804,Nordrhein-Westfalen
54441,Trassem,Lützowplatz 74,49.713616,6.462185,Rheinland-Pfalz
26386,Wilhelmshaven,Nuernbergerstrasse 66,53.586509,8.044211,Niedersachsen
66981,Münchweiler an der Rodalb,Hollander Strasse 35,49.27516,7.718504,Rheinland-Pfalz
54612,Nimshuscheid,Ansbacher Strasse 19,50.064472,6.409657,Rheinland-Pfalz
90127,Nürnberg,Rathausstrasse 97,49.349171,10.98472,Freistaat Bayern
86603,Donauwörth,Rathausstrasse 13,48.695555,10.75712,Freistaat Bayern
17001,Neubrandenburg,Unter den Linden 97,53.623741,13.214708,Mecklenburg-Vorpommern
22297,Hamburg Barmbek-Nord,Waßmannsdorfer Chaussee 98,53.594814,9.943576,Hamburg
55566,Kirschroth,Brandenburgische Str 68,49.784491,7.484525,Rheinland-Pfalz
01558,Großenhain,Lietzensee-Ufer 39,51.199064,13.580749,Freistaat Sachsen
97721,Oberthulba,Paul-Nevermann-Platz 62,50.198094,9.915526,Freistaat Bayern
85653,Aying,Jahnstrasse 33,48.009462,11.877802,Freistaat Bayern
02936,Weißwasser,Lietzensee-Ufer 37,51.612136,14.587301,Freistaat Sachsen
90560,Heroldsberg,Rathausstrasse 59,49.450483,11.11981,Freistaat Bayern
40489,Düsseldorf Angermund,Friedrichstrasse 5,51.199247,6.730631,Nordrhein-Westfalen
18351,Barth,Reeperbahn 86,54.291062,12.676753,Mecklenburg-Vorpommern
80637,München,Landsberger Allee 30,48.252595,11.603721,Freistaat Bayern
27616,Bokel,Inge Beisheim Platz 24,53.454637,8.834344,Niedersachsen
01911,Kamenz,Lietzensee-Ufer 16,51.185427,14.099652,Freistaat Sachsen
24753,Rendsburg,Schönwalder Allee 44,54.248391,9.670688,Schleswig-Holstein
67737,Olsbrücken,Grosse Praesidenten Str. 88,49.49312,7.574707,Rheinland-Pfalz
14109,Berlin Wannsee,Genslerstraße 57,52.551539,13.408058,Berlin
48465,Quendorf,Lietzenburger Straße 39,52.412575,7.194995,Niedersachsen
54518,Platten,Ansbacher Strasse 30,49.998879,6.942292,Rheinland-Pfalz
17225,Neustrelitz,An der Alster 22,53.263059,13.16165,Mecklenburg-Vorpommern
21079,Hamburg Neuland,Fasanenstrasse 76,53.517631,9.878717,Hamburg
03251,Doberlug-Kirchhain,Amsinckstrasse 23,51.676537,13.656897,Brandenburg
79348,Freiamt,Schönhauser Allee 32,48.240197,7.86698,Baden-Württemberg
06513,Sangerhausen,Flotowstr. 74,51.556046,11.204712,Sachsen-Anhalt
06432,Aschersleben,Flotowstr. 66,51.815402,11.565652,Sachsen-Anhalt
74937,Spechbach,Hermannstrasse 15,49.323803,8.935141,Baden-Württemberg
96243,Michelau,Borstelmannsweg 89,50.16305,11.069747,Freistaat Bayern
26892,Heede,Inge Beisheim Platz 56,52.836911,7.287831,Niedersachsen
06393,Bernburg,Flotowstr. 2,51.702764,11.748314,Sachsen-Anhalt
83120,Samerberg,Gubener Str. 38,47.679281,12.132186,Freistaat Bayern
45257,Essen,Jenaer Strasse 18,51.341562,7.142097,Nordrhein-Westfalen
92444,Rötz,Schmarjestrasse 83,49.280632,12.60321,Freistaat Bayern
88374,Hoßkirch,Hedemannstasse 72,48.012461,9.398108,Baden-Württemberg
67749,Nerzweiler,Grosse Praesidenten Str. 64,49.620433,7.589102,Rheinland-Pfalz
54673,Gemünd,Güntzelstrasse 40,50.127943,6.376119,Rheinland-Pfalz
25361,Elskop,Inge Beisheim Platz 9,53.901659,9.399547,Schleswig-Holstein
04189,Leipzig,Prenzlauer Allee 87,51.268088,12.464731,Freistaat Sachsen
92336,Beilngries,Rankestraße 65,48.934702,11.525567,Freistaat Bayern
92253,Schnaittenbach,Borstelmannsweg 47,49.490408,12.085486,Freistaat Bayern
06268,Albersroda,Holstenwall 66,51.386092,11.724787,Sachsen-Anhalt
94229,Viechtach,Kirchenallee 41,49.045765,12.939972,Freistaat Bayern
27419,Kalbe,An der Alster 75,53.184059,9.454893,Niedersachsen
09512,Lengefeld,Flotowstr. 73,50.74524,13.249108,Freistaat Sachsen
26907,Walchum,Kastanienallee 29,52.933176,7.359795,Niedersachsen
21775,Ihlienworth,Bissingzeile 6,53.76429,8.898417,Niedersachsen
75394,Oberreichenbach,Brandenburgische Str. 10,48.657418,8.568619,Baden-Württemberg
01831,Stolpen,Amsinckstrasse 96,50.981013,14.064887,Freistaat Sachsen
56379,Geilnau,Hollander Strasse 6,50.341178,8.02842,Rheinland-Pfalz
82439,Großweil,Marseiller Strasse 66,47.714586,11.325936,Freistaat Bayern
56759,Kalenborn,Wallstrasse 57,50.181983,7.15521,Rheinland-Pfalz
92533,Wernberg-Köblitz,Borstelmannsweg 76,49.487504,12.233274,Freistaat Bayern
32429,Minden Innenstadt,Michaelkirchstr. 85,52.362312,8.957819,Nordrhein-Westfalen
41065,Mönchengladbach Pesch,Fischerinsel 34,51.139671,6.400135,Nordrhein-Westfalen
24796,Bovenau,Schönwalder Allee 49,54.270231,9.904745,Schleswig-Holstein
66777,Rehlingen-Siersburg,Stresemannstr. 31,49.457159,6.644956,Freistaat Thüringen
31079,Adenstedt,Budapester Strasse 76,51.999415,9.994458,Niedersachsen
95402,Bayreuth,Kantstrasse 93,49.90747,11.647513,Freistaat Bayern
79802,Dettighofen,Bleibtreustraße 34,47.626458,8.454983,Baden-Württemberg
85361,Moosburg,Neuer Jungfernstieg 63,48.523955,11.891018,Freistaat Bayern
44359,Dortmund,Straße der Pariser Kommune 80,51.646484,7.367135,Nordrhein-Westfalen
25585,Lütjenwestedt,Kastanienallee 45,54.059437,9.493876,Schleswig-Holstein
56457,Halbs,Buelowstrasse 72,50.562126,8.00644,Rheinland-Pfalz
67549,Worms Innenstadt,Hermannstrasse 92,49.582712,8.303428,Rheinland-Pfalz
25348,Blomesche Wildnis,Inge Beisheim Platz 38,53.823292,9.511025,Schleswig-Holstein
29588,Oetzen,Michaelkirchstr. 39,53.048092,10.708113,Niedersachsen
39554,Stendal,Ruschestrasse 92,52.54146,11.876441,Sachsen-Anhalt
99094,Erfurt,Gotthardstrasse 38,50.957744,11.02715,Freistaat Thüringen
92650,Grafenwöhr,Borstelmannsweg 89,49.783074,12.000553,Freistaat Bayern
91189,Rohr,Oldesloer Strasse 75,49.401841,10.955868,Freistaat Bayern
44787,Bochum,Leopoldstraße 92,51.552412,7.172285,Nordrhein-Westfalen
87411,Kempten,Albrechtstrasse 18,47.731565,10.342273,Freistaat Bayern
86500,Kutzenhausen,Paderborner Strasse 45,48.240649,10.752204,Freistaat Bayern
23820,Pronstorf,Nuernbergerstrasse 6,53.879644,10.469477,Schleswig-Holstein
54293,Trier Mariahof,Leipziger Strasse 30,49.669432,6.652121,Rheinland-Pfalz
25858,Högel,Hochstrasse 37,54.721059,9.005188,Schleswig-Holstein
86733,Alerheim,Alsterkrugchaussee 52,48.799377,10.567516,Freistaat Bayern
40472,Düsseldorf Rath,Park Str. 61,51.313745,6.892733,Nordrhein-Westfalen
99328,Gräfenroda,Koenigstrasse 85,50.792366,10.868088,Freistaat Thüringen
63934,Röllbach,Esplanade 64,49.674468,9.275241,Freistaat Bayern
88119,Lindau,Potsdamer Platz 64,47.525134,9.778627,Freistaat Bayern
23554,Lübeck,Rudower Chaussee 52,53.936426,10.600958,Schleswig-Holstein
20257,Hamburg Eimsbüttel,Boxhagener Str. 79,53.611816,9.93119,Hamburg
77977,Rust,Bleibtreustraße 63,48.171097,7.718232,Baden-Württemberg
77966,Kappel-Grafenhausen,Bleibtreustraße 57,48.365157,7.812305,Baden-Württemberg
74081,Heilbronn Böckingen,Kurfuerstendamm 9,49.096152,9.289872,Baden-Württemberg
51469,Bergisch Gladbach Gronau,Lietzenburger Strasse 27,51.017823,7.039077,Nordrhein-Westfalen
07583,Seelingstädt,Oldesloer Strasse 56,50.76169,12.309848,Freistaat Thüringen
25792,Neuenkirchen,Schoenebergerstrasse 47,54.2237,9.050483,Schleswig-Holstein
97503,Gädheim,Paul-Nevermann-Platz 30,50.125176,10.347561,Freistaat Bayern
82184,Gröbenzell,Prager Str 69,48.104547,11.316353,Freistaat Bayern
54317,Kasel,Leipziger Strasse 38,49.678889,6.726463,Rheinland-Pfalz
04332,Leipzig,Prenzlauer Allee 58,51.264011,12.373865,Freistaat Sachsen
06567,Bad Frankenhausen,Holstenwall 53,51.316616,11.004636,Freistaat Thüringen
91341,Röttenbach,Luebeckertordamm 37,49.692059,10.904844,Freistaat Bayern
12529,Schönefeld,Waßmannsdorfer Chaussee 70,52.326638,13.459727,Brandenburg
72517,Sigmaringendorf,Hedemannstasse 18,48.009877,9.323317,Baden-Württemberg
38477,Jembke,Pohlstrasse 71,52.486126,10.860989,Niedersachsen
23521,Lübeck,Rudower Chaussee 24,53.910937,10.611218,Schleswig-Holstein
89204,Neu-Ulm,Frankfurter Allee 69,48.3917,9.98383,Freistaat Bayern
52074,Aachen,Straße der Pariser Kommune 78,50.659663,6.082443,Nordrhein-Westfalen
87482,Nesselwang,Ufnau Strasse 48,47.599309,10.407509,Freistaat Bayern
09507,Pockau,Kantstraße 6,50.686637,13.220296,Freistaat Sachsen
82438,Eschenlohe,Marseiller Strasse 1,47.546914,11.26496,Freistaat Bayern
54597,Habscheid,Rudower Strasse 88,50.362086,6.438743,Rheinland-Pfalz
38704,Liebenburg,Pohlstrasse 10,52.068138,10.517725,Niedersachsen
22087,Hamburg Uhlenhorst,Los-Angeles-Platz 66,53.496478,10.072103,Hamburg
14801,Belzig,Schmarjestrasse 78,52.047869,12.558619,Brandenburg
14933,Luckenwalde,Alt-Moabit 54,52.151539,13.177566,Brandenburg
89197,Weidenstetten,An der Schillingbrucke 6,48.465955,10.007685,Baden-Württemberg
95154,Kirchenlamitz,Billwerder Neuer Deich 9,50.138097,12.041959,Freistaat Bayern
75173,Pforzheim Brötzingen,Pasewalker Straße 97,48.962145,8.789868,Baden-Württemberg
96140,Hollfeld,Ellmenreichstrasse 9,49.952344,11.246264,Freistaat Bayern
18402,Stralsund,Schoenebergerstrasse 54,54.369111,13.148934,Mecklenburg-Vorpommern
95673,Wiesau,Flughafenstrasse 94,49.880971,12.211402,Freistaat Bayern
85229,Markt Indersdorf,Büsingstrasse 27,48.408295,11.316474,Freistaat Bayern
09048,Chemnitz,Gotthardstrasse 15,50.882233,12.988222,Freistaat Sachsen
55491,Büchenbeuren,Ansbacher Strasse 30,49.904868,7.291218,Rheinland-Pfalz
31174,Schellerten,Luckenwalder Strasse 13,52.145869,10.004436,Niedersachsen
14793,Buckau,Schmarjestrasse 46,52.269108,12.323402,Brandenburg
85019,Ingolstadt,Albrechtstrasse 84,48.83616,11.409185,Freistaat Bayern
09029,Chemnitz,Gotthardstrasse 83,50.80353,12.846523,Freistaat Sachsen
06233,Leuna,Flotowstr. 54,51.329067,12.009348,Sachsen-Anhalt
82059,Neuried,Bleibtreustraße 97,48.129855,11.430312,Freistaat Bayern
57334,Bad Laasphe,Gotzkowskystraße 42,51.010175,8.276847,Nordrhein-Westfalen
87472,Buchenberg,Hedemannstasse 90,47.708312,10.166513,Freistaat Bayern
50969,Köln Rodenkirchen,Straße der Pariser Kommune 51,51.009355,6.961902,Nordrhein-Westfalen
54657,Badem,Rudower Strasse 32,50.083136,6.71937,Rheinland-Pfalz
94131,Röhrnbach,Ziegelstr. 86,48.681327,13.633089,Freistaat Bayern
47495,Rheinberg,Gotzkowskystraße 98,51.500739,6.574649,Nordrhein-Westfalen
54675,Utscheid,Rudower Strasse 94,49.880389,6.375873,Rheinland-Pfalz
39249,Barby,Feldstrasse 81,51.93057,11.757514,Sachsen-Anhalt
